ACF Ethanol Futures
12/31/10 06:00 PM,C Corn Futures,F,5,0,12,0,568'0,572'0B,563'6A,----,574'0,56,564'2,86,5939
12/31/10 06:00 PM,C Corn Futures,F,7,0,12,0,573'4,576'4B,568'4A,----,579'6,104,569'2,127,7988
12/31/10 06:00 PM,C Corn Futures,F,9,0,12,0,536'2,537'0B,533'6A,----,540'0,5,532'6,16,869
12/31/10 06:00 PM,C Corn Futures,F,12,0,12,0,515'0,520'2,515'0,519'0,523'0,504,515'2,426,28196
12/31/10 06:00 PM,C Corn Futures,F,3,0,13,0,----,----,----,----,535'0,10,523'2,0,1
12/31/10 06:00 PM,C Corn Futures,F,5,0,13,0,----,----,----,----,541'0,10,529'2,0,0
12/31/10 06:00 PM,C Corn Futures,F,7,0,13,0,----,----,----,----,547'0,5,537'2,0,333
12/31/10 06:00 PM,C Corn Futures,F,9,0,13,0,----,----,----,----,543'0,0,525'4,0,0
12/31/10 06:00 PM,C Corn Futures,F,12,0,13,0,517'0,517'0,515'0,----,519'0,28,514'2,0,1685
12/31/10 06:00 PM,C Corn Futures,F,7,0,14,0,----,----,----,----,534'0,0,529'2,0,30
12/31/10 06:00 PM,C Corn Futures,F,12,0,14,0,----,----,----,----,524'0,0,524'2,0,26
CB CME CASH SETTLED BUTTER FUTURES
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,1,0,11,0,168.000,168.000,167.250A,167.250A,168.000,1,166.750,3,448
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,2,0,11,0,169.500,170.000,169.500,170.000,170.000,21,169.000,8,348
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,3,0,11,0,175.000,175.000,175.000,175.000,175.000,2,173.000,0,280
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,4,0,11,0,----,----,----,----,175.000,0,175.000,0,195
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,5,0,11,0,----,----,----,----,174.500,0,174.500,0,159
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,6,0,11,0,----,----,----,----,174.250,0,174.250,0,89
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,7,0,11,0,----,----,----,----,175.000,0,175.000,0,50
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,8,0,11,0,----,----,----,----,175.000,0,175.000,0,40
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,9,0,11,0,----,----,----,----,175.000,0,175.000,0,35
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,10,0,11,0,----,----,----,----,177.000,0,177.000,0,35
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,11,0,11,0,----,----,----,----,177.000,0,177.000,0,35
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,12,0,11,0,----,----,----,----,177.000,0,177.000,0,38
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,1,0,12,0,----,----,----,----,156.000,0,156.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,2,0,12,0,----,----,----,----,150.000,0,150.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,3,0,12,0,----,----,----,----,150.000,0,150.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,4,0,12,0,----,----,----,----,150.000,0,150.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,5,0,12,0,----,----,----,----,150.000,0,150.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,6,0,12,0,----,----,----,----,147.000,0,147.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,7,0,12,0,----,----,----,----,147.500,0,147.500,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,8,0,12,0,----,----,----,----,148.000,0,148.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,9,0,12,0,----,----,----,----,148.500,0,148.500,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,10,0,12,0,----,----,----,----,149.000,0,149.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,11,0,12,0,----,----,----,----,150.000,0,150.000,0,0
12/31/10 06:00 PM,CB CME CASH SETTLED BUTTER FUTURES,F,12,0,12,0,----,----,----,----,150.500,0,150.500,0,0
CCS CORN CALENDAR SWAP
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,1,0,11,0,----,----,----,----,592.00,0,591.50,0,415
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,2,0,11,0,----,----,----,----,629.00,0,616.00,10,516
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,3,0,11,0,----,----,----,----,629.00,0,616.00,204,1049
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,4,0,11,0,----,----,----,----,636.50,0,624.00,0,523
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,5,0,11,0,----,----,----,----,636.50,0,624.00,0,814
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,6,0,11,0,----,----,----,----,640.00,0,628.00,0,814
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,7,0,11,0,----,----,----,----,640.00,0,628.00,0,914
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,8,0,11,0,----,----,----,----,595.50,0,584.75,0,219
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,9,0,11,0,----,----,----,----,595.50,0,584.75,0,219
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,10,0,11,0,----,----,----,----,562.00,0,551.25,0,219
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,11,0,11,0,----,----,----,----,562.00,0,551.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,12,0,11,0,----,----,----,----,562.00,0,551.25,0,330
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,1,0,12,0,----,----,----,----,569.75,0,559.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,2,0,12,0,----,----,----,----,569.75,0,559.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,3,0,12,0,----,----,----,----,569.75,0,559.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,4,0,12,0,----,----,----,----,574.00,0,564.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,5,0,12,0,----,----,----,----,574.00,0,564.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,6,0,12,0,----,----,----,----,579.75,0,569.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,7,0,12,0,----,----,----,----,579.75,0,569.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,8,0,12,0,----,----,----,----,540.00,0,532.75,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,9,0,12,0,----,----,----,----,540.00,0,532.75,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,10,0,12,0,----,----,----,----,523.00,0,515.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,11,0,12,0,----,----,----,----,523.00,0,515.25,0,0
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,12,0,12,0,----,----,----,----,523.00,0,515.25,0,105
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,7,0,13,0,----,----,----,----,547.00,0,537.25,0,44
12/31/10 06:00 PM,CCS CORN CALENDAR SWAP,F,12,0,13,0,----,----,----,----,519.00,0,514.25,0,44
CPO US Dollar Denominated Crude Palm Oil Future
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,3,0,11,0,----,1252.00B,----,1252.00B,1273.75,0,1202.75,0,15
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,4,0,11,0,----,----,----,----,1267.25,0,1196.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,5,0,11,0,----,----,----,----,1261.25,0,1190.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,6,0,11,0,----,----,----,----,1256.25,0,1185.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,7,0,11,0,----,----,----,----,1203.75,0,1203.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,9,0,11,0,----,----,----,----,1200.00,0,1199.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,11,0,11,0,----,----,----,----,1183.75,0,1183.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,1,0,12,0,----,----,----,----,1164.25,0,1163.75,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,3,0,12,0,----,----,----,----,1157.75,0,1157.25,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,5,0,12,0,----,----,----,----,1154.50,0,1154.00,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,7,0,12,0,----,----,----,----,1146.50,0,1145.75,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,9,0,12,0,----,----,----,----,1149.75,0,1149.00,0,0
12/31/10 06:00 PM,CPO US Dollar Denominated Crude Palm Oil Future,F,11,0,12,0,----,----,----,----,1149.75,0,1149.00,0,0
CSC Cash Settled Cheese Future
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,1,0,11,0,1.398,1.398,1.398,1.398,1.398,1,1.391,1,296
